act	0.2.89-2
actionlint	1.7.12-3
berry	0.1.13-4
betterlockscreen	4.4.0-2
bluetui	0.8.1-1
croc	11.5.0-1
d2	0.8.2-2
difftastic	0.70.0-2
frp	0.71.0-2
fx	39.2.0-2
gitu	0.43.0-1
gotypist	0.8.2-2
hl	0.36.3-1
i3-autodisplay	0.6-4
i3lock-color	2.13.c.5-5
i3status-rust	0.36.1-2
impala	0.9.0-1
kudu	0.3.0-1
lychee	0.24.2-3
mandown	1.0.5.2-2
monolith	2.10.1-2
ouch	0.8.2-2
pkghaus-archive-keyring	2026.09.02.1
rathole	0.5.0-2
rustic	0.11.4-2
superfile	1.6.0-2
typst	0.15.1-2
vale	3.20.0-1
vegeta	12.13.0-4
viddy	1.3.1-4
xplr	1.1.1-1
zig	0.16.0-3
zola	0.23.4-2
